Year,In / Out of New Methodology Implemented,Asian_Men,Asian_Women,Black_Men,Black_Women,Hispanic_Men,Hispanic_Women,Total_Men,Total_Women,White_Men,White_Women
1988,Out,54182,38653,40697,33039,35662,29657,53253,35173,56451,36188
1989,Out,53884,40889,39097,33284,35139,29979,52314,35926,57362,36829
1990,Out,48823,38898,38515,32908,34907,28588,50489,36158,54967,37134
1991,Out,53083,37269,38855,32949,34799,28591,51784,36176,54646,37128
1992,Out,52419,39159,38465,33943,33560,29344,51861,36710,54478,37601
1993,Out,51768,40782,38561,33195,33753,28073,50937,36430,53557,37495
1994,Out,52609,40124,38958,32671,33333,28829,50629,36436,53558,38063
1995,Out,50591,39861,39141,33112,32653,27524,50466,36047,55123,37914
1996,Out,53771,39885,41210,33514,32863,29131,50169,37005,55316,38847
1997,Out,52984,42442,40381,33663,33022,28985,51444,38152,55910,39591
1998,Out,52496,40801,40773,34137,33590,28972,53276,38982,56878,40515
1999,Out,54448,42167,43891,35755,33086,28610,53709,38839,59693,40488
2000,Out,57891,43501,42967,35813,33942,29490,53175,39200,58879,42591
2001,Out,58089,42589,43513,36912,34813,29831,53123,40548,57850,42750
2002,Out,57224,42950,42928,36731,35486,29938,53875,41269,58041,42907
2003,Out,60894,43538,43076,36027,34848,29878,54334,41049,59797,42828
2004,Out,59832,46832,40703,36079,34677,30539,53072,40640,59244,42313
2005,Out,60484,45414,41620,37336,33683,30468,52075,40086,58431,42925
2006,Out,62691,47914,42377,36992,35419,30711,51506,39628,59013,43552
2007,Out,60100,47850,42746,36751,35789,31540,53466,41602,59649,43549
2008,Out,58597,48181,42583,35939,35333,30640,52920,40797,58486,42673
2009,Out,59281,48482,42944,36448,35955,31131,53975,41549,58874,44132
2010,Out,58268,46515,41513,36396,35579,31753,54027,41562,58544,45392
2011,Out,60163,44655,43127,36593,34782,31698,52650,40543,57146,44057
2012,Out,62803,48760,41197,36244,34488,30403,52838,40422,56193,43761
2013,Out,60745,44622,43069,35930,34067,31841,52736,41272,56377,43634
2013,In,60418,47789,41251,34207,33818,32319,52717,40888,58123,43463
2014,In,59018,48023,42204,34756,35794,31398,52220,41066,57493,43347
2015,In,64136,50152,42530,37459,36910,32188,52988,42155,59188,44556
2016,In,67014,51703,42181,37006,38157,32200,52751,42448,59171,46725
2017,In,67673,51378,42076,36735,38876,32002,52146,41977,60388,46513
